#transposed from inter/CHT.txt
019DD7	019E25
019D07	019E28
019DAC	019E27
017AB5	017A8E
019DAF	0183BA
019D23	019E2A
016417	016363
019D87	019E2B
019E15	019E2C
019D28	019E2D
019D26	019E2F
