#data source: http://www.cns11643.gov.tw
018096	0479,040116
018093	042E,040D,040116
01809D	040116,0443
018098	040116,0452
01809B	040116,0449
01809A	040116,0447
0180B2	0454,040116
01826F	0405,040129
018292	0495,042E,040D
01828B	0495,0444
01828D	0495,042B,0405
01898B	040137
0189D2	042A,041D,0429
018A00	04013F
018C37	0423,0422,0458
018C46	0401,0458,046C
018C55	040133
018C9D	040138
018D64	0447,04AE
018D70	0447,0497
018DB3	0458,0497
018EAB	04013B
018ECA	04012E
018F9B	04F7,0411
018FB0	0413,0410,0478
018FC2	04B6,0444
018FC6	04B6,0475
018FC5	04B6,040B,0411
018FC4	04B6,041F,0407
015DE1	04B6,0480
019091	0458,04C2
0190A2	0401,044D,047C
0190AA	0494,047C
0190A6	04A5,047C
0190A3	0409,0446,047C
019149	040132
0191C6	04013D
0191CC	040135
019632	047C,042E,0429
01962E	047C,0410,0426
019631	047C,0482
01962A	047C,0413,043B
01962C	047C,042E,0427
014E26	046C,04E5
014E56	045F,0456,0415
014E73	04A8,047A,0407
014E8B	040148
014E9B	0497,0415,0410
014E9E	040145
014EAB	042E,0458,047A
014EAC	042E,0458,0479
014F6F	0422,046C,0445
014F9D	0422,040123
014F8D	0422,0448,0452
014F73	0422,0447,0447
014F7F	0422,040108
014F6C	0422,0485,0415
014F9B	0422,0488,0423
014F8B	0422,048F,0439
014F86	0489,0422,0422
014F83	0422,0458,0480
014F70	0422,0401,04F0
014F75	0422,046C,044D
014F88	0422,0467,0467
014F69	0422,0428,0401,045B
014F7B	0422,0426,04B5
014F96	0422,0401,04E4
014F7E	0422,0423,040116
014F8F	0422,0404,04CA
014F91	0422,0414,04AB
014F7A	0422,0424,0481
015154	042A,04E1,0405
015152	04011E,0426
015155	04E8,0426
015169	0401,045C,0424,0424
015177	040110,0423
015176	040105,0423
015178	04014F
0151BD	0430,048F,0439
0151FD	040E,04C7,0438
01523B	040124,0439
015238	0431,0483,0439
015237	046D,045B,0439
01523A	040109,0439
015230	04010C,0439
01522E	045F,0458,0439
015236	04011A,0439
015241	0427,0489,0439
0152BE	040124,043A
0152BB	0416,0481,043A
015352	042E,0422,0422,0411
015354	0411,043A,043A,043A
015353	041C,0498,0411
015351	040157
015366	0447,0447,041C
015377	0431,0483,0436
015378	04011B,0436
015379	0404,04DD,0436
0153D6	040104,043B
0153D4	041C,0401,0479,043B
0153D7	04A8,0433,043B
015473	0458,04CA
015475	0458,0458,0419
015496	0458,043A,0458
015478	0458,048D,0401
015495	0458,0411,0458
015480	0458,04D8
01547B	0458,04DC
015477	0458,04DB
015484	0458,0474,0438
015492	0458,0458,0427
015486	0458,042B,046F
01547C	0458,04F2
015490	0458,0422,0452
015471	0458,04F1
015476	0458,0476,043B
01548C	04ED,0458
01549A	0458,0463,0432
015462	0458,046D,0415
015468	041D,0447,0458
01548B	0458,04EC
01547D	0422,0401,0458,0436
01548E	0463,0422,0458
0156FA	0459,0411,0458
015783	0447,04F7
015777	0447,0458,0419
01576A	0447,0443,0431
015769	0447,04CC
015761	0447,04FF
015766	0447,0498,0401
015764	0447,04DC
01577C	0447,0421,0401,041C
01577C	0447,0421,045F,0405
01591C	042E,0422,0463,0405
015949	04C8,0445
015947	044B,0419,0458
015948	044B,04CB
015944	044B,04E6
015954	044B,0411,044D
0159BE	04F7,0476
0159BB	040151
0159D4	04ED,0476
0159B9	0476,04CA
0159AE	0476,046D,0415
0159D1	0476,0411,0458
0159C6	0476,04C6
0159D0	0476,04D8
0159CD	0476,04E3
0159CB	0476,043D,0458
0159D3	0476,04EB
0159CA	0476,04F5
0159AF	0476,04DA
0159B3	0476,042A,0479
0159D2	0476,04D6
0159C5	0476,0431,0445
015B5F	047A,04DD
015B64	047A,04F1
015B63	04ED,047A
015B97	046B,04CB
015B9A	046B,0401,0497
015B98	046B,04EA
015B9C	046B,04D8
015B99	046B,04DA
015B9B	046B,0467,0436
015C1A	0479,041D,0458
015C48	046D,0474,0438
015C45	046D,0411,0458
015C46	046D,0447,0438
015CB7	045A,04FE
015CA1	041D,046C,045A
015CB8	045A,0413,0443
015CA9	045A,04D1
015CAB	045A,04DA
015CB1	0422,0453,045A
015CB3	04EF,045A
015E18	046B,0423,045B
015E1A	0472,0433,045B
015E16	045B,041C,0458
015E15	045B,04F0
015E1B	04F0,045B
015E11	0476,043B,045B
015E78	0447,0431,0443
015E78	0447,046C,0411
015E9A	046A,04FB
015E97	046A,041C,0458
015E9C	046A,0422,0452
015E95	046A,04AC,0401
015E96	046A,042B,046F
015EF6	0404,0497,0477
015F26	0471,042E,047F
015F27	0471,04F1
015F29	0476,043B,0471
015F80	0460,0405,0481
015F80	0460,042E,0447
015F81	0460,0401,0497
015F7F	0460,04FD
015F7C	0460,04FF
015FDD	0401,044B,04B9
015FE0	049C,04B9
015FFD	04B1,04B9
015FF5	0422,0401,040E,04B9
015FFF	0423,0439,04B9
01600F	04B9,04E0
016014	04B9,0401,0497
01602F	04B9,0447,043D
016035	04B9,048A,0405
016016	04B9,0414,045B
01602A	04B9,043B,0447
016015	04B9,04F0
016021	04B9,043D,0458
016027	04B9,04EB
016029	04B9,046D,0415
01602B	04B9,04FD
01601B	04B9,0498,0401
016216	0493,0458,0401
016215	04C0,0493
01623F	0496,042E,0429
01623E	0496,048E
016240	0496,04A7
01627F	04015A
0162C9	04A0,04F7
0162CC	04A0,0431,0445
0162C4	04A0,0405,0481
0162C4	04A0,042E,0447
0162BF	04A0,04FE
0162C2	04A0,04FD
0162B9	04A0,04CA
0162D2	04A0,0449,0434
0162DB	04A0,0439,0458
0162AB	04A0,04FF
0162D3	04A0,04D1
0162D4	04A0,0414,0425,0405
0162CB	04A0,044C,043A
0162C8	04A0,041C,0458
0162A8	04A0,0443,0431
0162BD	04A0,04DA
0162BC	04A0,04DB
0162D0	04A0,0458,0439
0162D9	04A0,0474,0438
0162C7	04A0,04C6
0162CD	04A0,04F0
0162B5	04A0,04AC,0401
0162DA	04A0,043D,044D
0162B1	04A0,042B,046F
0162D8	04A0,042B,0458
0162D6	04A0,041F,0475
0162D7	04A0,047F,043A
0162C6	04A0,0421,045F,04A0,0421,0401,041C
0162AC	04A0,043D,0458
0162CE	04A0,0422,0401,043E
01653E	042E,0429,04A1
0165A7	04AA,04A7
0165BC	042E,0429,0422,0432
0165FA	0498,0481
016614	0488,0498
016613	0498,04B1
01660C	0498,0498
016606	0498,0415,0415
016602	0498,042C,0436
01660E	0498,04AB
016600	0498,042B,0410
01660F	04AC,0498
016615	0498,04A7
01660A	0498,0401,044B
016607	0498,0404,044D
01670D	04AB,0436,043B
01670B	04AB,04AB
01676D	0489,042E,0426
01678B	0489,042E,0429
016795	0489,04B8
016771	040147
01679C	04014D
016773	0489,0498
016777	0489,04C2
016787	0489,0415,0415
01679D	0489,0411,043B
016797	0489,0489
01676F	0489,048D
016770	0489,04B4
01677F	0489,0413,043B
016789	0489,0481
01677E	0489,0423,043D
016790	0489,04A7
016775	0489,0404,0443
016775	0489,041F,0411
01679A	0489,04A1
016793	0489,0432,0411
01677C	0489,043E,040E,0408
01676A	0489,0479,0404
016772	0498,0489
016B23	04A7,042A,0422
016B66	0401,0453,0497
016B67	0497,0411,043B
016B7F	048F,0429,043B
016C13	042E,040D,04FE
016C1B	04A3,0423,0439
016CE3	04C7,04F7
016CE8	04C7,0405,0481
016CE8	04C7,042E,0447
016CF3	04C7,04F9
016CB1	04C7,046B,0415
016CCC	04C7,04F8
016CE5	04C7,046D,0415
016CB3	04C7,0419,0458
016CBD	04C7,0411,0458
016CBE	04C7,041C,0458
016CBC	04C7,0439,0458
016CE2	04C7,04FF
016CAB	04C7,04CA
016CD5	04C7,0447,043D
016CD3	04C7,0471,043D
016CB8	04C7,04FD
016CC4	04C7,04CD
016CB9	04C7,04DA
016CC1	04C7,0458,0426
016CAE	04C7,04D8
016CD7	04C7,0459,0423
016CC5	04C7,0459,0422
016CF1	04C7,04E0
016CBF	04C7,0423,0458
016CBB	04C7,043D,0458
016CE1	04C7,042B,046F
016CDB	04C7,0404,04B7
016CCA	04C7,04F0
016CAC	04C7,04CA
016CEF	04C7,04FE
016CDC	04C7,04AC,0401
016CD6	04C7,0466,0436
016CE0	04C7,0422,0401,043E
017095	04B4,042E,0427
01708E	04B4,04B4
017092	04B4,0479,0404
01708A	04B4,042A,0422
017099	040116,04B4
01722C	04A8,04C2
01722D	04A8,04BD
017238	04AA,04C2
017248	04A6,0413,043B
017267	04A4,04A1
017269	04A4,04B1
0172C0	04C0,048E
0172CE	048E,04DB
0172D9	048E,04D8
0172D7	048E,042B,0458
0172D0	048E,04F1
0173A9	0481,0410,0426
0173A8	0481,0481
01739F	0481,04B3
0173AB	0481,04A1
0173A5	0481,04AB
01753D	04D9,0480
01759D	04F6,045A
017599	04F6,041F,0407
01759A	04F6,0465
017684	04F0,042B,0405
0176C2	0444,04DD
0176F2	042E,040D,04D7
0176F4	0411,040110
0177E5	041F,044B,0458
0177FD	04D1,0467
01793E	04CB,0447
017940	04CB,046F
017941	04CB,047C
0179C9	040154
0179C8	04ED,045A
017A7A	046B,0423,0449
017A79	046B,0423,0471
017AFA	04011C,0410
017CFE	04012C,0437
017F54	041D,046C,042E,040D
017F8C	040126,0426
017F8B	0496,0403,0443
