Source: ftp://ftp.unicode.org/Public/9.0.0/ucd/CaseFolding.txt
01010C9E	01010CDE
01010C9F	01010CDF
01010CA0	01010CE0
01010CA1	01010CE1
01010CA2	01010CE2
01010CA3	01010CE3
01010CA4	01010CE4
01010CA5	01010CE5
01010CA6	01010CE6
01010CA7	01010CE7
01010CA8	01010CE8
01010CA9	01010CE9
01010CAA	01010CEA
01010CAB	01010CEB
01010CAC	01010CEC
01010CAD	01010CED
01010CAE	01010CEE
01010CAF	01010CEF
01010CB0	01010CF0
01010CB1	01010CF1
01010CB2	01010CF2
010118A0	010118C0
010118A1	010118C1
010118A2	010118C2
010118A3	010118C3
010118A4	010118C4
010118A5	010118C5
010118A6	010118C6
010118A7	010118C7
010118A8	010118C8
010118A9	010118C9
010118AA	010118CA
010118AB	010118CB
010118AC	010118CC
010118AD	010118CD
010118AE	010118CE
010118AF	010118CF
010118B0	010118D0
010118B1	010118D1
010118B2	010118D2
010118B3	010118D3
010118B4	010118D4
010118B5	010118D5
010118B6	010118D6
010118B7	010118D7
010118B8	010118D8
010118B9	010118D9
010118BA	010118DA
010118BB	010118DB
010118BC	010118DC
010118BD	010118DD
010118BE	010118DE
010118BF	010118DF
0101E900	0101E922
0101E901	0101E923
0101E902	0101E924
0101E903	0101E925
0101E904	0101E926
0101E905	0101E927
0101E906	0101E928
0101E907	0101E929
0101E908	0101E92A
0101E909	0101E92B
0101E90A	0101E92C
0101E90B	0101E92D
0101E90C	0101E92E
0101E90D	0101E92F
0101E90E	0101E930
0101E90F	0101E931
0101E910	0101E932
0101E911	0101E933
0101E912	0101E934
0101E913	0101E935
0101E914	0101E936
0101E915	0101E937
0101E916	0101E938
0101E917	0101E939
0101E918	0101E93A
0101E919	0101E93B
0101E91A	0101E93C
0101E91B	0101E93D
0101E91C	0101E93E
0101E91D	0101E93F
0101E91E	0101E940
0101E91F	0101E941
0101E920	0101E942
0101E921	0101E943
