Source: ftp://ftp.unicode.org/Public/13.0.0/ucd/UnicodeData.txt
011FC4	0103B7,010301,010345
011FC6	0103B7,010342
011FC7	0103B7,010342,010345
011FC8	010395,010300
011FC9	010395,010301
011FCA	010397,010300
011FCB	010397,010301
011FCC	010397,010345
011FCD	011FBF,010300
011FCE	011FBF,010301
011FCF	011FBF,010342
011FD0	0103B9,010306
011FD1	0103B9,010304
011FD2	0103B9,010308,010300
011FD3	0103B9,010308,010301
011FD6	0103B9,010342
011FD7	0103B9,010308,010342
011FD8	010399,010306
011FD9	010399,010304
011FDA	010399,010300
011FDB	010399,010301
011FDD	011FFE,010300
011FDE	011FFE,010301
011FDF	011FFE,010342
011FE0	0103C5,010306
011FE1	0103C5,010304
011FE2	0103C5,010308,010300
011FE3	0103C5,010308,010301
011FE4	0103C1,010313
011FE5	0103C1,010314
011FE6	0103C5,010342
011FE7	0103C5,010308,010342
011FE8	0103A5,010306
011FE9	0103A5,010304
011FEA	0103A5,010300
011FEB	0103A5,010301
011FEC	0103A1,010314
011FED	01A8,010300
011FEE	01A8,010301
011FEF	0160
011FF2	0103C9,010300,010345
011FF3	0103C9,010345
011FF4	0103C9,010301,010345
011FF6	0103C9,010342
011FF7	0103C9,010342,010345
011FF8	01039F,010300
011FF9	01039F,010301
011FFA	0103A9,010300
011FFB	0103A9,010301
011FFC	0103A9,010345
011FFD	01B4
012000	012002
012001	012003
012126	0103A9
01212A	014B
01212B	0141,01030A
01219A	012190,010338
01219B	012192,010338
0121AE	012194,010338
0121CD	0121D0,010338
0121CE	0121D4,010338
0121CF	0121D2,010338
012204	012203,010338
012209	012208,010338
01220C	01220B,010338
012224	012223,010338
012226	012225,010338
012241	01223C,010338
012244	012243,010338
012247	012245,010338
012249	012248,010338
012260	013D,010338
012262	012261,010338
01226D	01224D,010338
01226E	013C,010338
01226F	013E,010338
012270	012264,010338
012271	012265,010338
012274	012272,010338
012275	012273,010338
012278	012276,010338
012279	012277,010338
012280	01227A,010338
012281	01227B,010338
012284	012282,010338
012285	012283,010338
012288	012286,010338
012289	012287,010338
0122AC	0122A2,010338
0122AD	0122A8,010338
0122AE	0122A9,010338
0122AF	0122AB,010338
0122E0	01227C,010338
